a5f71f3 | Nikolai Kudasov | 2024-04-12 | fix: Manually fix bytes.phi to have an empty Delta binding
b4d2422 | Nikolai Kudasov | 2024-04-12 | fix: Fix dataization for Package when expanding via Rule 4
7019437 | Nikolai Kudasov | 2024-04-12 | chore: Mark generated org.eolang.* phi files as generated
48128eb | Nikolai Kudasov | 2024-04-12 | chore: Add org.eolang.* dependency files, as generated by EO compiler
97f4193 | Nikolai Kudasov | 2024-04-12 | chore: Automatically make dependencies into Packages
55034b5 | Nikolai Kudasov | 2024-04-12 | chore: Update documentation
df6f284 | Nikolai Kudasov | 2024-04-12 | chore: Remove debug traces
366543c | Nikolai Kudasov | 2024-04-12 | feat: Add --dependency-file option to support dependency files
4d7accf | Danila Danko | 2024-04-10 | fix(site): metrics definition and example
7b6ec40 | Danila Danko | 2024-04-10 | fix(scripts): directories in update-markdown
c1a2522 | Danila Danko | 2024-04-10 | feat(site): add quick start
9c0e16a | Danila Danko | 2024-04-10 | fix(pipeline): rename directory with non-normalized programs
dc1ddc6 | Danila Danko | 2024-04-10 | fix(site): invalid link
2cb3c0a | Danila Danko | 2024-04-10 | feat(site): enable linkcheck
4aa4340 | Danila Danko | 2024-04-10 | fix(site): typo
634044c | Danila Danko | 2024-04-10 | feat(flake): add mdbook-linkcheck to devshell
1bac44f | Danila Danko | 2024-04-10 | fix(site): remove alias
128825e | Danila Danko | 2024-04-10 | fix(site): - unicode -> mathjax in introduction - file paths
fe0991c | Danila Danko | 2024-04-10 | fix(site): titles
d1aaef0 | Danila Danko | 2024-04-10 | refactor(site): move files
2acf856 | Danila Danko | 2024-04-10 | feat(site): add a section on updating installed normalizer
7e0c45d | Danila Danko | 2024-04-10 | fix(ci): commit in the pipeline job
75317f0 | Danila Danko | 2024-04-08 | feat(ci): create PR with updated Markdown
d97e23e | Danila Danko | 2024-04-08 | refactor(all): rename script that updates markdown files
7bea4b8 | Danila Danko | 2024-04-05 | feat(proposals): specify the proposals directory
6b40d67 | Danila Danko | 2024-04-05 | fix(proposals): - use "must" instead of "should" - add link to template - use square brackets for labels - expand abbreviations
38d7bf4 | Nikolai Kudasov | 2024-04-05 | Fix the Chain monad and its use
88fc4de | Danila Danko | 2024-04-05 | feat(proposals): add readme
56af0f8 | Danila Danko | 2024-04-05 | feat(proposals): add template
2fcaf3f | Danila Danko | 2024-04-04 | fix(ci): use official stack-action
43de3b2 | Danila Danko | 2024-04-04 | fix(ci): add internal files to artifacts
2c87a2a | Danila Danko | 2024-04-04 | fix(site): format not as a command
bb728d0 | Danila Danko | 2024-04-04 | fix(site): command option
accb7ec | Danila Danko | 2024-04-04 | fix(flake): mdsh input
c99d5c9 | Danila Danko | 2024-04-04 | fix(site): dataless formations definition
01c58c4 | Danila Danko | 2024-04-04 | feat(normalizer): add more tests for metrics collection
0ebc87a | Abdelrahman Abounegm | 2024-04-04 | Silence warning related to Aeson Yaml parsing
e4db7a4 | Abdelrahman Abounegm | 2024-04-04 | Fix package lambda dataization test
a7dd645 | Abdelrahman Abounegm | 2024-04-04 | Remove incorrect test
2ed4332 | Abdelrahman Abounegm | 2024-04-04 | Replace redundant dataize functions with runChain
b6d2be5 | Abdelrahman Abounegm | 2024-04-03 | Add Chain monad and use it in dataization and norm
29bacaa | Abdelrahman Abounegm | 2024-04-03 | Simplify log message again
8c9a7a2 | Abdelrahman Abounegm | 2024-04-03 | Remove redundant imports and comments
b45ca4b | Danila Danko | 2024-04-02 | refactor(normalizer):  drop SpecialDouble
4112419 | eyihluyc | 2024-04-03 | Fix hlint warnings
3bde467 | Danila Danko | 2024-04-02 | fix(normalizer): update metrics test
16954c4 | Danila Danko | 2024-04-02 | fix(normalizer): count dataless
d293c65 | Danila Danko | 2024-04-02 | fix(normalizer): update .cabal
335d7a6 | Danila Danko | 2024-04-02 | fix(normalizer): use SafeDouble instead of SafeNumber
a67bd37 | Danila Danko | 2024-04-02 | refactor(normalizer): don't save space
63e20b3 | Danila Danko | 2024-04-02 | fix(site): path to rules
